#{"t_start": 1782171729.2601292, "env_id": "None"}
r,l,t
102.475396,70,1.011034
102.577104,65,1.06949
102.602221,66,1.127293
102.527983,64,1.184064
102.552365,62,1.238911
102.432423,67,1.29645
103.357763,73,1.358625
102.448725,59,1.412207
102.369294,61,1.467351
102.598715,63,1.522987
102.815964,74,1.585663
103.400466,72,1.647326
102.339191,64,1.703346
102.481645,64,1.761175
102.554121,71,1.823304
102.507309,63,1.880761
102.94274,68,1.94029
102.378414,66,1.999656
102.600848,63,2.057475
102.657298,72,2.117976
102.814382,70,2.178354
102.619515,72,2.239353
102.593709,65,2.295812
102.961615,71,2.356617
102.555715,63,2.413342
102.411474,68,2.474288
4.168299,200,2.602987
102.524724,67,2.661679
102.891141,73,3.493209
102.40733,70,3.556181
102.40641,62,3.61384
102.45852,66,3.671936
102.517772,66,3.728115
102.570702,64,3.783324
102.562619,64,3.838841
102.521891,66,3.895722
102.402574,70,3.956213
102.391885,68,4.014724
102.533891,70,4.075043
102.459504,64,4.131299
102.593952,64,4.187135
102.749878,66,4.245151
102.766388,71,4.305272
102.498587,63,4.361591
102.451435,72,4.421806
102.551614,65,4.479918
102.613527,68,4.538863
102.525936,58,4.591614
102.807853,65,4.649607
102.379758,61,4.704565
102.46105,66,4.764086
102.287411,69,4.822814
102.607187,67,4.882784
102.496216,66,4.941977
102.801157,71,5.003739
103.236823,66,5.063766
102.460668,65,5.122809
102.435582,73,5.186032
102.564593,68,5.247431
102.372895,65,5.991959
102.684923,70,6.067549
102.646975,74,6.134308
102.445472,63,6.192275
102.555072,65,6.251269
103.06455,72,6.3143
102.83286,67,6.373216
102.414093,72,6.436077
102.563,69,6.497997
102.410237,61,6.553341
102.637256,70,6.614624
102.592996,71,6.678691
102.084469,61,6.735748
102.486972,73,6.797915
102.630629,67,6.858347
102.548786,68,6.918302
102.494621,72,6.980537
102.823091,62,7.038777
102.296028,62,7.095311
102.990058,67,7.153373
102.458902,67,7.212992
102.645861,67,7.272478
102.546033,64,7.330141
102.623613,64,7.389409
102.739175,62,7.45143
102.481934,70,7.512133
102.388005,64,7.571581
102.579131,68,7.630956
102.798312,70,7.691374
102.42834,70,7.758854
102.459896,71,8.552611
102.405147,63,8.61641
103.018666,70,8.682754
103.102831,68,8.749987
102.539043,67,8.81132
102.663057,60,8.867491
102.4921,71,8.931166
102.549404,66,8.992387
102.745904,64,9.053559
102.684282,65,9.115885
103.016423,65,9.177005
102.549709,72,9.242914
102.381453,70,9.306649
102.37362,70,9.370747
102.603816,70,9.437195
102.778719,66,9.498718
102.53031,67,9.562269
102.557561,65,9.6299
102.919261,65,9.691354
102.3635,66,9.753086
102.325459,71,9.817372
102.390015,64,9.87839
102.521301,66,9.938185
102.545037,69,10.001132
102.933282,72,10.065814
102.47543,70,10.129489
102.41606,64,10.188123
102.528284,69,10.24977
102.426423,65,10.307795
4.723345,200,11.125494
102.573488,64,11.188156
102.509489,63,11.247957
102.495711,63,11.30802
102.573264,67,11.370609
102.595682,67,11.432811
102.530193,72,11.497657
102.573478,64,11.555526
102.667822,64,11.61488
102.507418,71,11.677466
102.475338,71,11.739632
102.571868,62,11.797797
102.559009,68,11.85865
102.894828,65,11.921892
102.497644,69,11.983935
102.413667,68,12.052656
102.743869,64,12.118434
102.399048,65,12.178448
102.46667,69,12.242982
102.540719,68,12.303131
102.407022,68,12.36436
102.309715,66,12.424281
102.489176,72,12.488023
102.500525,72,12.55147
102.550374,63,12.610802
102.623062,65,12.669931
102.344413,63,12.728452
102.418908,62,12.785499
102.654625,72,12.84935
102.367413,64,12.907488
102.417582,70,12.970967
102.285403,66,13.720439
102.801357,64,13.784412
102.643895,62,13.844703
102.541687,70,13.908654
102.463614,66,13.969501
102.304506,70,14.033596
102.627312,67,14.096185
102.516572,67,14.157992
102.494447,70,14.222064
102.471775,70,14.286432
102.411046,68,14.348863
102.640157,73,14.414624
102.366333,67,14.476176
102.510053,74,14.542912
102.39553,66,14.603638
102.504578,64,14.662678
102.511834,71,14.728531
102.452281,62,14.790847
102.579159,72,14.855149
102.566018,65,14.914874
102.467294,66,14.975959
102.289314,71,15.041605
102.655707,63,15.101
102.494287,66,15.160855
102.565285,71,15.222862
102.763358,68,15.283079
102.541508,70,15.357512
102.876093,75,15.428829
102.313359,70,15.506487
102.140398,63,15.569324
102.448939,73,16.319175
102.294305,66,16.38237
102.525527,66,16.44505
102.560545,66,16.50813
103.470483,72,16.573163
102.636876,73,16.63833
102.473971,65,16.69873
102.354539,69,16.762021
103.017746,64,16.823846
102.511805,67,16.887388
102.487319,71,16.953064
102.838833,67,17.012506
102.48295,67,17.073348
102.419706,69,17.135907
102.31461,62,17.195343
102.775354,64,17.255662
102.598758,63,17.315224
102.665852,71,17.377994
102.393829,69,17.439979
102.561383,66,17.500161
102.590738,69,17.563335
102.376526,59,17.620654
102.545817,61,17.677236
102.475929,68,17.737458
4.549637,200,17.871096
102.517609,70,17.933312
102.692445,67,17.995305
102.706691,65,18.056362
102.541105,60,18.790407
102.31636,61,18.852239
102.131454,60,18.913142
102.446863,63,18.973015
102.784784,60,19.032388
102.570265,61,19.091542
102.586668,69,19.155794
102.933034,73,19.224387
102.455828,67,19.287918
102.526653,61,19.348156
102.444109,67,19.413338
102.470373,67,19.476428
102.568607,63,19.535412
102.4296,69,19.599499
102.491677,64,19.65926
102.396363,66,19.719909
102.517003,64,19.778696
102.449368,61,19.837199
102.335064,62,19.895791
102.558634,63,19.953715
102.710673,62,20.015157
102.219979,63,20.074557
102.34477,60,20.133211
102.748477,65,20.194394
102.617769,66,20.255772
102.470131,70,20.319508
103.149462,69,20.382872
102.601268,65,20.443578
102.519701,65,20.503881
102.473046,64,20.565125
102.247529,63,20.625282
102.376697,62,20.683755
102.59947,68,21.405977
102.534748,69,21.472794
102.569447,72,21.538779
102.55142,68,21.601655
102.512646,62,21.660801
102.944663,65,21.720144
102.392118,71,21.784468
102.322008,63,21.844753
102.489334,70,21.907836
102.514612,67,21.968947
102.624054,68,22.032691
102.483673,64,22.09261
102.550796,71,22.157699
102.639928,66,22.227459
102.405953,63,22.285805
102.419243,67,22.346299
102.13387,60,22.404406
103.377411,68,22.466121
102.471158,70,22.528665
102.607988,67,22.590698
102.416324,68,22.652247
102.521996,69,22.713214
102.463636,63,22.770878
102.504293,68,22.83312
102.389505,71,22.897573
102.548675,71,22.960972
102.516896,71,23.027188
102.53873,61,23.08639
102.307344,69,23.151107
102.524732,66,23.21283
102.540054,66,23.274781
102.495343,63,24.014005
102.607321,61,24.075563
102.819182,72,24.143231
102.418967,60,24.200117
102.44637,63,24.259801
102.71363,60,24.317368
102.362309,70,24.382449
102.432181,61,24.441983
102.513357,73,24.510276
102.570659,72,24.576495
102.591376,66,24.63845
102.46272,62,24.696235
102.740795,70,24.759402
102.399759,62,24.818056
103.066043,66,24.875378
102.522947,69,24.933857
102.599915,68,24.99417
102.526074,67,25.053115
102.583948,64,25.113394
102.564785,65,25.172482
102.56942,66,25.232287
102.338199,60,25.290631
102.35785,70,25.353292
102.745817,72,25.417329
102.640547,70,25.480666
102.432168,73,25.544226
102.577532,70,25.609293
102.442025,66,25.67057
102.495389,67,25.732291
102.532122,61,25.789382
102.561632,64,25.849238
102.681623,64,26.589118
102.796624,65,26.649016
102.54283,73,26.707436
103.327241,69,26.765179
103.1887,75,26.826759
102.576091,64,26.881189
102.408621,65,26.935903
102.287114,62,26.986611
102.589622,67,27.04403
102.614481,71,27.106225
102.159205,65,27.165415
102.531753,60,27.222275
102.486158,62,27.281189
102.554253,67,27.34367
102.853381,70,27.406885
102.531687,64,27.466377
102.721301,69,27.52898
102.446277,71,27.592888
102.311089,66,27.654734
102.680596,72,27.718776
102.757598,62,27.776799
102.719758,70,27.839286
102.460918,72,27.903167
102.687272,69,27.965474
102.69161,64,28.024697
102.432362,65,28.085346
102.525814,63,28.144681
102.399478,62,28.204096
102.631653,66,28.264439
103.134458,65,28.323375
102.691267,72,29.086976
102.497193,67,29.152927
102.535903,65,29.212845
102.516875,67,29.273443
102.640797,64,29.331373
102.512769,67,29.391263
102.781542,74,29.455279
102.722846,66,29.513348
102.476918,65,29.570827
102.639924,72,29.634515
102.609723,69,29.696225
4.983885,200,29.824975
102.716785,65,29.882231
102.523075,64,29.937923
102.556042,70,29.997766
102.484833,72,30.059884
102.405526,61,30.115898
102.453567,66,30.175965
102.484049,65,30.234351
102.623609,63,30.291157
102.736004,65,30.355844
102.359167,64,30.420721
103.008423,72,30.483216
102.606006,59,30.540455
102.312249,70,30.60182
5.030444,200,30.734145
102.375362,69,30.793694
102.5042,65,31.530492
102.483698,63,31.591049
102.72734,72,31.656425
102.553883,64,31.716109
102.502209,74,31.780145
102.848447,71,31.842339
102.483897,62,31.899441
102.575133,67,31.959524
102.384006,62,32.015983
102.456163,65,32.076412
102.454061,69,32.139446
102.539409,65,32.199182
102.311051,60,32.254631
102.544987,62,32.311485
102.324448,62,32.371459
102.53967,68,32.433774
102.522122,61,32.490154
102.510938,68,32.549947
102.538356,67,32.610213
102.778854,69,32.670727
102.611296,68,32.729893
102.715781,63,32.786442
102.652992,69,32.848199
102.441371,66,32.908092
102.402012,66,32.968149
103.014729,69,33.029372
102.453046,67,33.089937
102.626442,71,33.153312
102.494197,70,33.215578
102.624324,63,33.273067
102.607405,69,33.334812
102.527791,60,34.074384
102.38727,62,34.136545
102.617472,69,34.201586
102.556711,72,34.26832
102.517025,66,34.330288
102.461363,72,34.395392
102.528319,63,34.45576
102.69334,73,34.522294
102.630827,66,34.584431
102.61803,66,34.646336
102.675785,70,34.707821
102.363427,67,34.769268
102.500815,67,34.832387
102.771454,70,34.894611
102.815617,68,34.958623
102.406513,61,35.018096
102.794939,65,35.079261
102.405763,71,35.145407
102.441264,69,35.209372
102.288998,63,35.269335
102.576952,62,35.329138
102.62443,67,35.391893
102.71941,71,35.456759
102.529215,71,35.521174
102.403277,63,35.583634
102.535742,70,35.646999
102.664254,70,35.710871
102.669666,69,35.773407
103.137313,65,35.845725
102.483487,60,35.908068
102.274353,73,36.737454
102.342301,64,36.802083
102.330173,64,36.864106
102.592258,63,36.923301
102.484731,69,36.985869
102.501974,67,37.047351
102.495058,65,37.108812
102.5855,66,37.167759
102.463756,62,37.226715
102.788466,70,37.289301
102.470333,64,37.349693
102.690757,67,37.411113
102.341972,63,37.470917
102.369122,60,37.526507
102.604247,61,37.583024
102.26313,62,37.641403
102.516603,63,37.700929
102.625058,72,37.764318
102.39964,60,37.824569
102.379941,61,37.890198
102.495984,71,37.965253
102.496374,66,38.027066
102.257492,62,38.084469
102.340292,61,38.142298
102.591319,67,38.201903
102.760481,66,38.261508
102.634889,63,38.318502
102.529909,73,38.381331
102.612741,63,38.43816
102.95592,74,38.501595
102.407765,64,38.559307
102.546076,64,38.617606
102.508121,73,39.355562
102.462836,68,39.420876
102.764059,63,39.480791
102.848166,66,39.541176
102.695904,70,39.605386
102.84217,70,39.670753
102.432348,68,39.733769
102.484526,63,39.792378
102.489149,72,39.856772
102.434996,66,39.91805
102.810223,74,39.983469
102.733945,67,40.046622
102.472674,70,40.109071
102.591689,69,40.170767
102.942259,66,40.230383
102.467596,72,40.293603
102.648286,70,40.356033
102.54108,71,40.420258
102.635908,72,40.487355
102.923902,68,40.550438
102.487616,63,40.61102
102.647735,68,40.672187
102.434539,62,40.730503
102.39029,63,40.788069
102.492854,59,40.844303
102.72793,66,40.903291
102.225448,64,40.961781
102.78607,73,41.02852
102.743632,67,41.091914
102.408937,62,41.150679
102.433397,60,41.916182
102.477621,72,41.98404
102.689299,71,42.050913
102.612395,65,42.115195
102.236103,63,42.177598
102.448604,66,42.238354
102.399429,68,42.301394
102.471503,63,42.362516
102.653695,61,42.421589
103.664475,71,42.486261
102.584451,63,42.546123
102.430675,61,42.604835
102.542442,61,42.661548
103.192919,76,42.729607
103.580608,71,42.79528
102.449815,69,42.860398
102.629664,69,42.923353
102.406709,67,42.984627
102.462085,69,43.051264
102.275716,70,43.116779
102.584421,65,43.176677
102.717785,68,43.238756
102.625239,73,43.303241
102.412676,68,43.365038
102.415015,64,43.427251
102.465677,62,43.486668
102.465508,68,43.548757
102.588411,74,43.613096
102.574489,66,43.671691
102.350123,64,43.729242
102.377108,65,43.788101
102.535602,67,44.524336
102.609024,61,44.584081
102.604064,71,44.648277
102.542334,63,44.705739
102.642087,71,44.773457
102.193748,68,44.83492
102.366158,60,44.891538
102.84089,72,44.954623
102.617609,67,45.017072
102.649218,67,45.078267
102.574401,72,45.142513
102.494619,60,45.198787
102.600422,70,45.261822
102.39692,72,45.331903
102.308442,66,45.397028
102.512506,63,45.468967
102.592375,66,45.535524
102.55668,59,45.591044
102.436721,66,45.653704
102.290176,64,45.713373
102.655756,63,45.772633
102.604483,72,45.837139
102.53863,68,45.898599
102.423696,70,45.961625
102.80281,72,46.026845
102.502762,61,46.084122
102.653167,64,46.143968
102.675805,64,46.203375
102.693745,68,46.263812
102.344373,61,46.321275
102.434025,64,46.381126
102.478057,71,47.26265
102.648702,68,47.326608
102.695819,73,47.392337
102.429333,64,47.452148
102.458695,72,47.51571
102.767661,65,47.575776
102.712221,64,47.635756
102.830762,74,47.70076
102.649039,71,47.764346
102.618091,65,47.824474
102.348618,59,47.880247
102.56619,63,47.938038
102.308034,60,47.995448
102.523746,65,48.055165
102.652679,64,48.116132
102.454487,74,48.182883
102.610462,62,48.241853
102.468521,61,48.300159
102.47179,63,48.358526
102.445502,64,48.41795
102.515195,60,48.474588
102.550176,66,48.534784
102.520704,60,48.592544
102.407804,61,48.650603
102.777173,66,48.7097
102.631615,67,48.770201
102.459312,67,48.830373
102.499397,66,48.890437
102.635437,70,48.952426
102.838305,74,49.016971
102.420588,61,49.075381
102.744925,72,49.835482
102.60646,70,49.900905
102.470084,71,49.966581
102.91678,70,50.030012
102.516691,72,50.094765
102.401087,73,50.159651
102.560656,72,50.223063
102.54586,64,50.281326
102.592062,66,50.342602
102.400575,67,50.404436
102.782785,66,50.464926
102.46613,65,50.525018
102.446282,67,50.588877
102.587741,66,50.650014
102.515097,66,50.710135
102.611761,67,50.773301
102.466195,63,50.844521
102.644875,63,50.913748
102.466619,67,50.986361
102.385902,64,51.048109
102.439592,63,51.107919
102.501076,68,51.170336
102.578902,64,51.230815
102.53114,68,51.29153
102.540739,66,51.352294
102.518022,62,51.410266
102.649184,65,51.469221
102.495619,64,51.528619
102.459572,63,51.587101
102.49212,63,51.646004
102.569122,61,51.701824
102.66477,67,52.444859
102.60166,72,52.510996
102.370323,62,52.57014
102.201636,64,52.628656
102.220319,61,52.684974
102.690909,65,52.745664
102.374705,69,52.807115
102.59563,73,52.870887
102.500787,70,52.933668
102.466154,62,52.990491
102.440783,65,53.050534
102.624067,65,53.109345
102.500961,69,53.171357
103.535665,71,53.234349
102.595946,63,53.291885
102.646587,70,53.356663
102.281289,68,53.42052
102.73139,69,53.485754
102.604898,72,53.551426
102.619553,65,53.612675
102.683723,66,53.674754
102.279722,66,53.736042
102.671199,66,53.796002
102.516023,68,53.857633
102.528717,72,53.921299
102.615636,62,53.979558
102.882722,66,54.039984
102.406218,64,54.099627
102.553577,73,54.163868
102.594706,68,54.224992
102.649333,69,54.964058
102.567038,66,55.030703
102.555642,72,55.096522
102.556464,72,55.163915
102.74024,68,55.225182
103.001882,71,55.287231
102.503667,72,55.350754
102.352717,60,55.408208
102.639921,70,55.472897
102.660526,62,55.531498
102.34633,63,55.590862
102.669717,68,55.654259
102.471791,72,55.716787
102.364323,63,55.774028
102.501385,63,55.831818
102.575066,67,55.891555
103.072004,74,55.956026
102.784163,69,56.018025
102.650603,66,56.077526
102.584523,66,56.137147
102.432939,72,56.201755
102.814258,62,56.25843
102.419723,68,56.32028
102.465861,62,56.378206
102.452576,62,56.435823
103.220506,67,56.49528
102.670103,66,56.555119
102.363479,65,56.615912
102.680421,73,56.681129
102.336403,60,56.737089
102.520345,67,56.79972
102.572845,67,57.546166
102.616507,64,57.608202
102.284087,61,57.66518
102.700229,69,57.725737
102.571205,70,57.787636
102.487382,62,57.844671
102.401324,63,57.90187
102.418817,71,57.964994
102.715754,65,58.024092
102.215143,64,58.081929
102.884281,76,58.149244
102.50126,71,58.212655
102.429197,73,58.27532
102.359883,66,58.334023
102.437338,64,58.391937
102.554872,64,58.449776
102.536886,69,58.510797
102.45438,69,58.571239
102.774835,72,58.634286
102.560591,66,58.693373
102.695552,70,58.754929
102.706332,73,58.818033
102.409077,68,58.878957
102.296349,61,58.935016
102.295174,69,58.997413
102.375247,70,59.058135
102.407332,61,59.114616
102.60108,69,59.178256
102.432988,66,59.238518
102.458782,72,59.300848
102.51605,60,60.031968
102.599718,65,60.094823
102.571544,70,60.158732
102.379204,61,60.21741
102.679158,64,60.276286
102.405176,62,60.334437
102.43611,61,60.394123
102.525821,65,60.45534
102.283273,68,60.518749
102.464975,68,60.580403
102.495942,70,60.644881
102.418691,68,60.707464
102.602381,64,60.76632
102.689242,74,60.830698
